brand,processor,ram(GB),ssd(GB),hdd(GB),os,gpu,screen_size(inches),resolution(pixels),no_of_cores,no_of_threads,spec_score,price
14,11,16,256,1000,4,46,15.6,7,4,8,72,77750
6,15,8,256,0,4,148,14.0,8,6,8,65,53906
6,16,8,512,0,4,134,14.0,8,10,12,54,74990
6,16,16,512,0,4,134,16.0,8,10,12,61,94500
6,18,16,512,0,4,18,14.0,8,10,12,63,102990
3,107,16,1000,0,4,49,15.6,7,8,16,75,85990
12,8,16,512,0,4,126,14.0,7,4,8,51,46990
9,92,8,512,0,4,104,15.6,7,2,4,56,32083
3,116,16,512,0,4,102,16.0,8,8,16,72,66990
9,16,16,512,0,4,121,15.6,7,12,16,63,69990
3,18,16,1000,0,4,69,17.3,7,14,20,76,109990
3,109,16,512,0,4,96,14.0,20,8,16,71,64990
12,7,8,512,0,4,126,14.0,7,2,4,47,33490
3,107,8,512,0,4,46,15.6,7,8,16,68,69990
3,18,16,1000,0,4,69,15.6,15,14,20,81,122990
1,11,16,512,0,4,121,15.6,7,4,8,66,54990
2,67,8,512,0,2,1,13.6,18,8,0,45,137990
3,39,8,512,0,4,38,15.6,7,6,12,72,55990
3,16,16,512,0,4,131,15.6,7,12,16,65,72000
9,16,8,512,0,4,134,14.0,7,10,12,60,62278
9,16,8,512,0,4,132,15.6,7,12,16,62,63350
14,7,8,512,0,4,113,15.6,7,2,4,60,36490
9,16,8,512,0,4,132,15.6,7,10,12,59,60500
19,16,8,512,0,4,35,15.6,7,12,16,63,79990
3,113,16,1000,0,4,69,15.6,15,8,16,82,124990
6,16,16,512,0,4,46,15.6,7,12,16,73,79990
3,16,16,512,0,4,134,14.0,20,12,16,63,70990
9,16,16,512,0,4,18,15.6,7,10,12,60,78200
19,18,16,512,0,4,134,15.6,7,10,12,62,79990
19,16,8,512,0,4,134,15.6,7,10,12,60,64490
6,11,8,512,0,4,46,15.6,7,6,12,67,65990
14,73,8,256,0,4,123,15.6,3,2,2,51,26585
6,16,16,512,0,4,46,15.6,7,12,16,67,84990
9,16,16,512,0,4,140,15.6,7,8,12,67,71999
1,16,8,512,0,4,46,15.6,7,8,16,69,76109
3,117,16,512,0,4,69,15.6,7,8,16,75,98900
14,73,4,256,0,1,123,15.6,7,2,2,43,19990
6,11,16,256,1000,4,140,14.0,3,4,8,65,76900
6,87,8,256,0,4,123,15.6,3,4,0,49,32033
6,106,16,512,0,4,107,16.0,8,6,12,72,62490
9,11,8,512,0,4,113,14.0,3,4,8,51,60618
14,71,4,0,1000,1,148,14.0,7,2,2,0,18990
9,102,8,512,0,4,96,15.6,7,6,12,60,52490
9,95,8,512,0,4,96,14.0,7,6,12,60,51990
19,18,16,512,0,4,134,13.3,0,8,16,73,113990
6,11,8,512,0,4,134,15.6,7,4,8,60,54490
3,89,4,0,1000,4,138,15.6,3,4,0,48,23399
19,16,16,512,0,4,134,13.3,0,12,16,72,110990
3,91,8,256,0,4,140,13.3,7,4,4,54,43290
2,66,16,512,0,2,108,13.3,16,8,0,53,125990
9,93,8,512,0,4,96,14.0,7,4,8,51,40300
9,11,8,512,0,4,134,15.6,7,4,8,54,55499
2,66,16,256,0,2,108,13.3,16,8,0,43,105990
9,93,8,512,0,4,93,15.6,7,4,8,56,39648
6,11,8,256,1000,4,21,15.6,7,4,8,65,62812
14,10,8,512,0,4,123,15.6,7,2,4,53,37952
6,8,8,256,0,4,140,14.0,7,4,8,60,77499
9,99,8,512,0,4,42,15.6,7,6,12,63,64990
9,99,8,512,0,4,38,15.6,7,6,12,68,59910
6,12,16,512,0,4,134,14.0,7,4,8,61,112000
9,10,8,256,0,4,123,14.0,7,4,8,50,35490
14,10,8,256,0,4,123,15.6,7,2,4,54,36001
12,9,16,512,0,4,123,14.0,7,4,8,55,46990
3,10,8,256,1000,4,140,14.1,7,2,4,54,38990
3,7,8,512,0,4,123,15.6,7,2,4,50,32990
9,11,8,512,0,4,38,15.6,7,4,8,55,61990
2,82,32,1000,0,2,28,16.2,26,10,0,61,296894
14,75,4,0,1000,1,123,15.6,7,2,2,43,21999
6,10,8,256,1000,4,113,15.6,7,2,4,54,41490
9,99,8,512,0,4,38,15.6,7,6,12,71,58635
3,10,8,256,0,4,123,15.6,7,2,4,59,34994
21,11,16,512,0,4,134,15.6,25,4,8,66,62999
15,99,8,512,0,4,34,15.6,7,6,12,69,58500
14,10,8,512,0,4,123,15.6,7,2,4,55,37600
21,10,8,256,0,4,140,15.6,7,2,4,55,30990
18,10,8,256,0,4,140,14.0,4,2,4,53,46990
14,11,8,512,0,4,121,15.6,7,4,8,61,55850
1,80,4,0,1000,4,142,15.6,29,4,4,0,21990
3,61,16,1000,0,4,38,13.4,28,8,16,84,105990
14,12,16,1000,0,4,134,14.0,27,4,8,67,172990
6,11,8,256,1000,4,134,15.6,7,4,8,57,61640
2,66,8,512,0,2,108,13.3,16,8,0,47,109990
6,7,4,0,1000,4,123,15.6,7,2,4,55,36990
16,121,8,128,0,4,105,15.0,14,4,8,59,99990
9,25,8,512,0,4,26,14.0,7,4,8,66,146000
6,11,16,256,0,4,140,13.3,7,4,8,65,87999
14,10,8,512,0,4,123,15.6,7,2,4,51,33990
3,10,8,512,0,4,140,15.6,7,2,4,51,39400
9,16,16,512,0,4,121,15.6,7,10,12,72,82999
9,35,8,512,0,4,96,15.6,7,4,8,55,40960
3,18,16,1000,0,4,69,16.0,28,10,16,86,168990
9,11,8,512,0,4,38,16.1,7,6,12,72,84419
9,41,8,512,0,4,33,15.6,7,6,12,68,70816
9,11,16,512,0,4,38,16.1,7,6,12,74,75990
6,20,16,1000,0,4,69,15.6,7,14,20,78,149899
9,41,16,512,0,4,72,16.1,7,6,12,73,92990
14,55,16,1000,0,4,69,16.0,16,8,16,75,159990
15,18,16,512,0,4,51,15.6,7,14,20,76,105000
15,20,16,1000,0,4,88,15.6,15,14,20,80,209000
9,16,16,512,0,4,134,15.6,7,12,16,63,74098
9,16,16,512,0,4,134,15.6,7,10,12,71,99999
9,18,16,512,0,4,129,15.6,7,10,12,72,116000
9,53,16,512,0,4,91,14.0,3,8,16,72,73999
2,86,16,1000,0,2,14,16.2,26,12,0,59,269900
2,86,16,512,0,2,14,16.2,26,12,0,55,249900
2,84,32,1000,0,2,27,14.2,23,12,0,62,309900
2,86,16,1000,0,2,14,14.2,23,12,0,56,249900
2,85,16,512,0,2,6,14.2,23,10,0,54,199900
9,16,16,512,0,4,121,14.0,20,12,16,71,81990
2,67,16,256,0,2,0,13.3,16,8,0,44,149000
2,67,16,512,0,2,1,13.6,18,8,0,47,159000
2,67,16,256,0,2,1,13.6,18,8,0,44,137900
19,16,16,512,0,4,123,15.6,7,8,12,59,70990
14,20,32,1000,0,4,10,16.0,16,16,24,90,359990
6,10,8,512,0,4,140,15.56,7,2,4,57,61202
6,36,8,256,0,4,93,14.0,7,4,8,61,50852
9,34,8,512,0,1,96,14.0,3,2,4,53,36000
15,15,8,512,0,4,123,14.0,7,6,8,61,44990
6,16,16,512,0,4,121,14.0,7,12,16,68,91958
9,10,8,256,1000,4,123,15.6,7,2,4,62,41990
12,11,16,512,0,4,121,15.6,7,4,8,53,49990
6,16,8,512,0,4,134,15.6,7,10,12,61,62029
6,16,16,512,0,4,140,14.0,7,10,12,61,69900
6,16,8,256,1000,4,24,15.6,7,10,12,67,72990
9,16,16,512,0,4,121,15.6,7,10,12,67,77990
9,18,16,1000,0,4,121,15.6,20,10,12,73,109990
9,16,16,512,0,4,121,15.6,7,10,12,65,84990
6,16,8,512,0,4,46,15.6,7,12,16,75,79990
9,102,16,512,0,4,96,14.0,7,6,12,61,59815
9,16,16,512,0,4,134,15.6,7,12,16,63,75990
9,16,16,512,0,4,121,13.4,8,10,12,72,79990
9,111,16,512,0,4,95,13.3,7,8,16,72,98000
6,16,8,512,0,4,134,15.6,7,10,12,56,60070
3,56,16,1000,0,4,69,15.6,15,8,16,81,157990
6,16,8,512,0,4,140,14.0,7,10,12,59,57990
6,31,16,512,0,4,100,15.6,7,6,12,62,55530
6,49,8,512,0,4,100,15.6,7,6,12,60,51499
6,15,8,512,0,4,140,14.0,7,6,8,56,43990
3,62,16,1000,0,4,88,15.6,15,8,16,85,211990
15,18,16,512,0,4,121,15.6,7,10,12,62,67990
15,16,16,512,0,4,121,15.6,7,10,12,62,57990
15,16,8,512,0,4,121,14.0,7,10,12,59,56990
3,15,8,512,0,4,140,15.6,7,10,12,55,42990
9,11,8,512,0,4,113,14.0,3,4,8,56,52999
9,16,8,512,0,4,38,15.6,7,8,12,69,79888
14,12,16,1000,0,4,61,15.6,7,8,16,79,159999
1,16,16,512,0,4,133,15.6,7,10,12,66,61990
9,15,8,512,0,4,123,14.0,7,6,8,66,59990
6,79,8,256,0,4,140,15.6,7,2,4,53,32990
9,10,8,512,0,1,113,14.0,3,2,4,44,35000
14,68,4,0,1000,1,93,14.0,3,2,2,47,18990
14,68,4,256,0,1,93,14.0,3,2,2,48,18990
15,18,8,512,0,4,46,15.6,7,14,20,73,80990
14,40,16,512,0,4,91,14.0,8,6,12,69,72690
14,11,8,512,0,4,134,14.0,7,4,8,56,49999
3,107,8,512,0,4,49,15.6,7,8,16,69,76990
3,16,16,512,0,4,132,14.0,20,12,16,69,95980
14,15,8,512,0,4,155,14.0,7,6,8,59,52900
20,73,4,128,0,4,126,14.1,7,2,2,48,19990
9,16,16,512,0,4,126,14.0,7,10,12,65,68918
20,73,4,128,0,1,126,14.1,7,2,2,44,17990
20,73,4,256,0,4,126,15.6,7,2,2,50,23990
14,18,16,1000,0,4,49,16.0,16,14,20,84,149990
1,15,8,512,0,4,123,15.6,7,6,8,59,42990
15,18,32,1000,0,4,88,15.6,15,14,20,96,288990
9,48,8,512,0,4,91,13.3,7,6,12,65,75190
6,11,16,512,0,4,134,14.0,7,4,8,57,98280
1,16,8,512,0,4,133,15.6,7,10,12,63,57990
14,11,16,512,0,4,140,15.6,7,4,8,63,59290
8,16,16,512,0,4,69,15.6,7,12,16,74,103890
8,16,16,512,0,4,48,15.6,7,12,16,68,85990
8,16,8,512,0,4,46,15.6,7,12,16,66,109990
6,16,8,512,0,4,123,14.0,7,10,12,67,74990
14,18,16,512,0,4,134,13.3,8,12,16,71,200000
1,41,16,512,1000,4,46,15.6,7,6,12,72,75990
1,41,8,512,1000,4,46,15.6,7,6,12,69,68990
1,41,16,512,0,4,38,15.6,7,6,12,71,63990
9,16,8,512,0,4,134,13.3,8,10,12,63,79990
9,10,8,512,0,4,113,14.0,3,2,4,49,34440
14,7,4,256,0,4,123,15.6,7,2,4,54,31990
14,12,16,512,0,4,22,14.0,7,4,8,69,140200
9,16,8,512,0,4,121,14.0,7,10,12,60,71020
3,74,4,256,0,4,140,14.0,7,2,2,44,24500
9,122,8,512,0,4,113,14.0,3,0,0,50,34440
14,108,16,512,0,4,106,14.0,7,8,16,68,74990
14,10,8,256,0,4,123,14.0,7,2,4,53,32499
14,10,8,256,0,4,140,15.6,7,2,4,48,37100
1,120,4,0,128,0,151,13.3,7,8,0,0,47990
14,11,8,512,0,4,138,14.1,7,4,8,61,76890
6,16,8,512,0,4,116,15.6,7,10,12,57,64490
3,18,16,512,0,4,132,14.0,20,12,16,69,108990
14,7,8,256,0,4,113,15.6,7,2,4,50,33990
6,43,8,512,0,4,99,15.6,7,6,12,62,51490
14,11,8,512,0,1,138,14.1,7,4,8,50,72990
3,8,8,512,0,4,38,15.6,7,4,8,63,54990
15,18,16,1000,0,4,69,17.3,7,14,20,73,149990
